"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"tet(L)",99.77,"1293/1377",93.8997821350762,"85..1377","GMGC10.018_088_435.UNKNOWN","565..1857","Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline","M29725","ARO:3000179","tet(L)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99.77,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(37)",99.1,"222/327",67.8899082568807,"1..222","GMGC10.018_114_419.NORV","565..786","Tetracycline","AF540889","ARO:3002871","tet(37)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99.1,"Tetracycline","ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"aac(6')-Iaa",97.47,"435/438",99.3150684931507,"1..435","GMGC10.018_130_452.AACA7","1..435","Amikacin, Tobramycin","NC_003197","ARO:3002571","","","","","","","ResFinder",97.47,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"lsa(C)",95.2,"1479/1479",100,"1..1479","GMGC10.018_226_382.LSA","1..1479","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin","HM990671","ARO:3003112","lsaC","Perfect","ARO:0000026,ARO:0000046,ARO:0000066,ARO:3001317","streptogramin antibiotic,lincomycin,clindamycin,pleuromutilin","ARO:0000017,ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",95.2,"Lincosamide, Streptogramin A, Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"lsa(C)",89.17,"1478/1479",99.9323867478026,"2..1479","GMGC10.018_228_460.LSA","2..1479","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin","HM990671","ARO:3003112","lsaC","Perfect","ARO:0000026,ARO:0000046,ARO:0000066,ARO:3001317","streptogramin antibiotic,lincomycin,clindamycin,pleuromutilin","ARO:0000017,ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",89.17,"Lincosamide, Streptogramin A, Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"msr(A)",99.11,"1467/1467",100,"1..1467","GMGC10.018_273_026.UNKNOWN","1..1467","Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S","X52085","ARO:3000251","msrA","Perfect","ARO:0000006,ARO:3000584","erythromycin,quinupristin","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ResFinder",99.11,"Macrolide, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"blaOXA-5",88.32,"805/804",99.5024875621891,"1..804","GMGC10.018_275_545.YBXI","1..801","Unknown Beta-lactam","AF347074","ARO:3001400","OXA-5","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",88.32,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaIMP-13",100,"741/741",100,"1..741","GMGC10.018_275_546.CPHA","1..741","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam","AJ550807","ARO:3002204","IMP-13","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"aac(6')-Ib-Hangzhou",99.81,"519/519",100,"1..519","GMGC10.018_294_614.AADA","862..1380","Amikacin, Tobramycin","FJ503047","ARO:3002592","AAC(6')-Ib-Hangzhou","Perfect","ARO:0000013,ARO:0000049,ARO:0000052","amikacin,kanamycin A,tobramycin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.81,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"ole(C)",81.38,"929/978",92.5357873210634,"7..923","GMGC10.018_318_631.SCLAV_1483","46..962","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",81.38,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"OqxA",86.22,"1176/1176",100,"1..1176","GMGC10.018_353_514.MEXE","1..1176","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",86.22,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"OqxB",88.83,"3132/3153",99.2705359974627,"1..3131","GMGC10.018_353_515.MEXF","1..3131","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",88.83,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"erm(C)",100,"516/735",70.2040816326531,"220..735","GMGC10.018_465_843.ERMA","157..672","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","V01278","ARO:3000250","ErmC","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"erm(37)",100,"537/540",99.4444444444444,"1..537","GMGC10.018_493_786.UNKNOWN","60..596","Erythromycin, Telithromycin, Lincomycin, Clindamycin","AL123456","ARO:3000392","Erm(37)","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"ole(C)",80.41,"924/978",93.0470347648262,"7..923","GMGC10.018_528_636.SCLAV_1483","61..977","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",80.41,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaA",99.1,"885/885",100,"1..885","GMGC10.018_543_113.BLA","1..885","Unknown Beta-lactam","AY954728","ARO:3003558","y56 beta-lactamase","Perfect","ARO:0000032,ARO:3000008,ARO:3003832","cephalosporin,penicillin beta-lactam,ticarcillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.1,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"erm(D)",100,"864/864",100,"1..864","GMGC10.018_572_582.ERMA","22..885","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","M77505","ARO:3000495","ErmD","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"mph(K)",91.65,"922/921",99.8914223669924,"1..921","GMGC10.018_598_254.YCBJ","133..1053","Spiramycin, Telithromycin","NC_000964","ARO:3004541","","","","","","","ResFinder",91.65,"Macrolide","ARO:3000333","macrolide phosphotransferase (MPH)","mph"
"OqxB",81.17,"3118/3153",97.6213130352046,"1..3098","GMGC10.018_618_005.MEXF","1..3098","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",81.17,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"ole(C)",80.75,"930/978",92.0245398773006,"7..921","GMGC10.018_620_217.SCLAV_1483","49..963","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",80.75,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tet(V)",83.47,"1240/1260",97.4603174603175,"25..1255","GMGC10.018_646_676.TETV","49..1285","Doxycycline, Tetracycline","AF030344","ARO:3000181","tet(V)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",83.47,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaKHM-1",83.21,"667/726",91.8732782369146,"58..724","GMGC10.018_655_768.CPHA","52..718","Unknown Beta-lactam","AB364006","ARO:3000847","KHM-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",83.21,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"blaSGM-2",98.92,"930/936",99.3589743589744,"7..936","GMGC10.018_678_588.BLA","1..930","Unknown Beta-lactam","AP010803","ARO:3006988","SGM-2","Strict","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ResFinder",98.92,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"tet(42)",84.77,"1182/1287",91.3752913752914,"52..1230","GMGC10.018_700_191.BLT","1..1179","Doxycycline, Tetracycline","EU523697","ARO:3000572","tet(42)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",84.77,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(D)",91.81,"1185/1185",100,"1..1185","GMGC10.018_725_771.TETA","1..1185","Doxycycline, Tetracycline","AF467077","ARO:3000168","tet(D)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",91.81,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"OqxB",80.37,"3133/3153",98.5410719949255,"1..3120","GMGC10.018_755_269.MEXF","1..3120","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",80.37,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"ole(C)",86.72,"979/978",99.2842535787321,"7..978","GMGC10.018_792_349.SCLAV_1483","49..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",86.72,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tet",81.15,"1846/1920",94.1145833333333,"1..1828","GMGC10.018_795_143.TETP","1..1825","Doxycycline, Tetracycline, Minocycline","M74049","ARO:3007127","Streptomyces lividans otr(A)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",81.15,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ole(C)",88.24,"986/978",99.7955010224949,"1..978","GMGC10.018_795_528.SCLAV_1483","43..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",88.24,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaZ",88.47,"919/951",96.5299684542587,"30..947","GMGC10.018_851_450.UNKNOWN","3..921","Amoxicillin, Ampicillin, Penicillin, Piperacillin","M15195","ARO:3007101","BcIII","Strict","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",88.47,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"fosB1",87.99,"408/417",97.841726618705,"10..417","GMGC10.018_851_790.FOSB","10..417","Fosfomycin","CP001903","ARO:3007372","FosBx1","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",87.99,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"blaJOHN-1",83.29,"748/747",99.8661311914324,"1..747","GMGC10.018_870_728.CPHA","1..747","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam","AY028464","ARO:3000840","JOHN-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",83.29,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"qepA4",100,"1536/1536",100,"1..1536","GMGC10.018_903_067.UNKNOWN","1..1536","Ciprofloxacin","KX580704","ARO:3004379","QepA4","Perfect","ARO:0000036,ARO:3000661,ARO:3000662","ciprofloxacin,nalidixic acid,norfloxacin","ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ResFinder",100,"Quinolone","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"lsa(B)",80.33,"1469/1479",98.7829614604462,"1..1465","GMGC10.018_915_282.LSA","1..1465","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M","AJ579365","ARO:3003111","lsaB","Perfect","ARO:0000026,ARO:0000066,ARO:3001317","streptogramin antibiotic,clindamycin,pleuromutilin","ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",80.33,"Lincosamide, Streptogramin A","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"otr(C)",96.42,"1061/1056",99.5265151515152,"1..1056","GMGC10.018_919_930.SCLAV_1483","1..1056","Doxycycline, Tetracycline","AY509111","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",96.42,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"ole(C)",93.63,"957/978",97.8527607361963,"1..957","GMGC10.018_937_735.SCLAV_1483","43..999","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",93.63,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tet",81.45,"1844/1920",93.59375,"1..1828","GMGC10.018_962_508.TETP","1..1813","Doxycycline, Tetracycline, Minocycline","M74049","ARO:3007127","Streptomyces lividans otr(A)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",81.45,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"ole(C)",87.84,"987/978",99.6932515337423,"1..978","GMGC10.018_966_036.SCLAV_1483","43..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",87.84,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
